product_id,current_price,optimal_price,predicted_demand,optimal_revenue,decision,demand_signal,inventory_signal,competition_signal,risk_signal
P001,52.46,49.84,373.59,18619.77,decrease,low_demand,hold_price,maintain,low_risk
P002,30.86,29.32,908.49,26637.04,decrease,high_demand,hold_price,maintain,medium_risk
P003,72.82,69.18,506.22,35020.62,decrease,normal_demand,hold_price,raise_price,low_risk
P004,18.05,17.15,889.22,15250.07,decrease,high_demand,increase_price,maintain,high_risk
P005,20.57,19.54,650.7,12714.7,decrease,normal_demand,hold_price,maintain,high_risk
P006,46.84,44.5,836.95,37244.29,decrease,high_demand,hold_price,maintain,high_risk
P007,60.21,57.2,622.38,35600.0,decrease,high_demand,hold_price,maintain,medium_risk
P008,95.38,90.61,385.51,34931.24,decrease,low_demand,hold_price,maintain,low_risk
P009,38.47,36.55,746.78,27294.73,decrease,high_demand,hold_price,maintain,high_risk
P010,88.11,83.7,612.99,51307.5,decrease,normal_demand,hold_price,raise_price,high_risk
P011,58.53,55.6,351.22,19527.68,decrease,low_demand,hold_price,raise_price,medium_risk
P012,61.58,61.58,716.74,44136.9,hold,high_demand,lower_price,lower_price,low_risk
P013,43.81,41.62,955.11,39751.7,decrease,high_demand,hold_price,maintain,high_risk
P014,87.56,83.18,677.2,56329.18,decrease,high_demand,hold_price,maintain,medium_risk
P015,60.25,57.24,648.64,37128.42,decrease,normal_demand,hold_price,raise_price,medium_risk
P016,77.69,73.81,392.34,28958.63,decrease,low_demand,hold_price,raise_price,high_risk
P017,76.91,69.22,574.02,39733.43,decrease,normal_demand,hold_price,maintain,medium_risk
P018,68.49,78.76,425.82,33537.65,increase,normal_demand,hold_price,raise_price,low_risk
P019,26.25,24.94,481.87,12017.73,decrease,normal_demand,hold_price,maintain,medium_risk
P020,71.0,63.9,590.63,37741.29,decrease,normal_demand,hold_price,maintain,medium_risk
P021,80.86,76.82,391.77,30095.4,decrease,low_demand,hold_price,maintain,high_risk
P022,30.31,28.79,801.2,23066.63,decrease,high_demand,hold_price,maintain,medium_risk
P023,68.31,68.31,283.53,19368.22,hold,low_demand,hold_price,lower_price,low_risk
P024,63.19,60.03,507.2,30447.05,decrease,normal_demand,hold_price,maintain,high_risk
P025,99.48,94.51,534.79,50542.93,decrease,normal_demand,lower_price,lower_price,medium_risk
P026,56.52,50.87,665.58,33858.3,decrease,normal_demand,hold_price,maintain,medium_risk
P027,28.8,25.92,529.62,13727.81,decrease,normal_demand,hold_price,maintain,high_risk
P028,54.77,52.03,409.66,21314.41,decrease,low_demand,increase_price,raise_price,high_risk
P029,37.55,35.67,790.41,28193.89,decrease,high_demand,hold_price,maintain,high_risk
P030,21.41,24.62,685.11,16867.35,increase,high_demand,increase_price,raise_price,medium_risk
